GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E9-A1NH-01A-11D-A897-36	chr1	17001	7852000	6869	-0.200527
TCGA-E9-A1NH-01A-11D-A897-36	chr1	7852001	12138000	4279	-0.214587
TCGA-E9-A1NH-01A-11D-A897-36	chr1	12138001	13122000	761	-0.197786
TCGA-E9-A1NH-01A-11D-A897-36	chr1	13170001	13227000	6	-9.124633
TCGA-E9-A1NH-01A-11D-A897-36	chr1	13227001	14035000	728	-0.210268
TCGA-E9-A1NH-01A-11D-A897-36	chr1	14035001	16583000	2515	-0.210819
TCGA-E9-A1NH-01A-11D-A897-36	chr1	16583001	16646000	55	-0.365557
TCGA-E9-A1NH-01A-11D-A897-36	chr1	16646001	16654000	8	-1.844714
TCGA-E9-A1NH-01A-11D-A897-36	chr1	16674001	40880000	23881	-0.205647
TCGA-E9-A1NH-01A-11D-A897-36	chr1	40880001	40886000	6	0.420286
TCGA-E9-A1NH-01A-11D-A897-36	chr1	40886001	46745000	5834	-0.204676
TCGA-E9-A1NH-01A-11D-A897-36	chr1	46745001	52732000	5943	-0.202781
TCGA-E9-A1NH-01A-11D-A897-36	chr1	52732001	53286000	552	-0.217489
TCGA-E9-A1NH-01A-11D-A897-36	chr1	53286001	53574000	287	-0.201435
TCGA-E9-A1NH-01A-11D-A897-36	chr1	53574001	57814000	4224	-0.204123
TCGA-E9-A1NH-01A-11D-A897-36	chr1	57814001	73711000	15751	-0.199327
TCGA-E9-A1NH-01A-11D-A897-36	chr1	73711001	83171000	9391	-0.194820
TCGA-E9-A1NH-01A-11D-A897-36	chr1	83172001	83184000	11	-1.585133
TCGA-E9-A1NH-01A-11D-A897-36	chr1	83185001	83602000	384	-0.179777
TCGA-E9-A1NH-01A-11D-A897-36	chr1	83602001	100619000	16905	-0.200080
TCGA-E9-A1NH-01A-11D-A897-36	chr1	100619001	119804000	18698	-0.197423
TCGA-E9-A1NH-01A-11D-A897-36	chr1	119804001	143186000	1139	-0.165053
TCGA-E9-A1NH-01A-11D-A897-36	chr1	143186001	143312000	75	0.716135
TCGA-E9-A1NH-01A-11D-A897-36	chr1	143483001	143938000	246	-0.703476
TCGA-E9-A1NH-01A-11D-A897-36	chr1	144101001	145885000	453	0.673301
TCGA-E9-A1NH-01A-11D-A897-36	chr1	145885001	150027000	1866	0.688186
TCGA-E9-A1NH-01A-11D-A897-36	chr1	150027001	151968000	1933	0.668362
TCGA-E9-A1NH-01A-11D-A897-36	chr1	151968001	163052000	10879	0.681626
TCGA-E9-A1NH-01A-11D-A897-36	chr1	163052001	172657000	9544	0.682973
TCGA-E9-A1NH-01A-11D-A897-36	chr1	172657001	190551000	17772	0.683692
TCGA-E9-A1NH-01A-11D-A897-36	chr1	190551001	200240000	9545	0.689860
TCGA-E9-A1NH-01A-11D-A897-36	chr1	200240001	201157000	912	0.672535
TCGA-E9-A1NH-01A-11D-A897-36	chr1	201157001	201610000	452	0.682446
TCGA-E9-A1NH-01A-11D-A897-36	chr1	201610001	204714000	3101	0.675264
