GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AC-A23C-01A-12D-A899-36	chr1	17001	1698000	886	0.004967
TCGA-AC-A23C-01A-12D-A899-36	chr1	1704001	1750000	27	-1.074548
TCGA-AC-A23C-01A-12D-A899-36	chr1	1752001	2652000	895	-0.000504
TCGA-AC-A23C-01A-12D-A899-36	chr1	2652001	2689000	9	0.471207
TCGA-AC-A23C-01A-12D-A899-36	chr1	2752001	13891000	10683	-0.009457
TCGA-AC-A23C-01A-12D-A899-36	chr1	13891001	14259000	366	-0.345908
TCGA-AC-A23C-01A-12D-A899-36	chr1	14259001	16535000	2268	-0.012239
TCGA-AC-A23C-01A-12D-A899-36	chr1	16535001	16603000	37	0.238318
TCGA-AC-A23C-01A-12D-A899-36	chr1	16604001	16876000	133	0.094454
TCGA-AC-A23C-01A-12D-A899-36	chr1	16876001	16949000	72	-0.602383
TCGA-AC-A23C-01A-12D-A899-36	chr1	16949001	28942000	11855	-0.010304
TCGA-AC-A23C-01A-12D-A899-36	chr1	28942001	29057000	115	-0.349328
TCGA-AC-A23C-01A-12D-A899-36	chr1	29057001	34636000	5547	-0.007326
TCGA-AC-A23C-01A-12D-A899-36	chr1	34636001	34646000	10	-0.975969
TCGA-AC-A23C-01A-12D-A899-36	chr1	34646001	40881000	6200	-0.009750
TCGA-AC-A23C-01A-12D-A899-36	chr1	40881001	40916000	35	0.540638
TCGA-AC-A23C-01A-12D-A899-36	chr1	40916001	69911000	28829	-0.014092
TCGA-AC-A23C-01A-12D-A899-36	chr1	69911001	69926000	15	0.558076
TCGA-AC-A23C-01A-12D-A899-36	chr1	69927001	83339000	13257	-0.023927
TCGA-AC-A23C-01A-12D-A899-36	chr1	83342001	83350000	8	-1.019070
TCGA-AC-A23C-01A-12D-A899-36	chr1	83352001	123170000	36492	-0.019484
TCGA-AC-A23C-01A-12D-A899-36	chr1	123176001	123177000	1	2.622577
TCGA-AC-A23C-01A-12D-A899-36	chr1	123185001	124926000	246	-0.477437
TCGA-AC-A23C-01A-12D-A899-36	chr1	124940001	159023000	11762	0.021665
TCGA-AC-A23C-01A-12D-A899-36	chr1	159023001	161043000	2014	0.555400
TCGA-AC-A23C-01A-12D-A899-36	chr1	161043001	161569000	492	0.561234
TCGA-AC-A23C-01A-12D-A899-36	chr1	161570001	161573000	3	-3.309656
TCGA-AC-A23C-01A-12D-A899-36	chr1	161591001	166826000	5176	0.546318
TCGA-AC-A23C-01A-12D-A899-36	chr1	166826001	168774000	1942	0.548480
TCGA-AC-A23C-01A-12D-A899-36	chr1	168774001	168934000	160	0.545231
TCGA-AC-A23C-01A-12D-A899-36	chr1	168934001	170186000	1226	0.550649
TCGA-AC-A23C-01A-12D-A899-36	chr1	170186001	170937000	749	0.544366
TCGA-AC-A23C-01A-12D-A899-36	chr1	170937001	172713000	1768	0.548246
TCGA-AC-A23C-01A-12D-A899-36	chr1	172713001	172878000	165	0.419266
TCGA-AC-A23C-01A-12D-A899-36	chr1	172878001	177307000	4383	0.546076
TCGA-AC-A23C-01A-12D-A899-36	chr1	177307001	177489000	181	0.665982
TCGA-AC-A23C-01A-12D-A899-36	chr1	177489001	202234000	24520	0.774061
TCGA-AC-A23C-01A-12D-A899-36	chr1	202234001	206864000	4396	0.795032
TCGA-AC-A23C-01A-12D-A899-36	chr1	206864001	208076000	1163	0.946146
TCGA-AC-A23C-01A-12D-A899-36	chr1	208076001	211202000	3108	0.777695
TCGA-AC-A23C-01A-12D-A899-36	chr1	211202001	212173000	971	0.816627
TCGA-AC-A23C-01A-12D-A899-36	chr1	212173001	222544000	10296	0.771500
TCGA-AC-A23C-01A-12D-A899-36	chr1	222544001	238769000	15923	0.777749
TCGA-AC-A23C-01A-12D-A899-36	chr1	238769001	240360000	1582	0.755192
TCGA-AC-A23C-01A-12D-A899-36	chr1	240360001	246178000	5759	0.768296
TCGA-AC-A23C-01A-12D-A899-36	chr1	246178001	248931000	2586	0.778069
TCGA-AC-A23C-01A-12D-A899-36	chr2	11001	4075000	3982	0.011081
TCGA-AC-A23C-01A-12D-A899-36	chr2	4075001	4449000	373	0.266208
TCGA-AC-A23C-01A-12D-A899-36	chr2	4449001	138457000	125649	0.000516
TCGA-AC-A23C-01A-12D-A899-36	chr2	138457001	140384000	1924	0.259462
TCGA-AC-A23C-01A-12D-A899-36	chr2	140384001	210740000	69823	0.000282
TCGA-AC-A23C-01A-12D-A899-36	chr2	210740001	212319000	1568	0.129109
TCGA-AC-A23C-01A-12D-A899-36	chr2	212319001	212327000	8	-29.929146
TCGA-AC-A23C-01A-12D-A899-36	chr2	212327001	242159000	29569	0.007005
TCGA-AC-A23C-01A-12D-A899-36	chr3	12001	48944000	48675	-0.000053
TCGA-AC-A23C-01A-12D-A899-36	chr3	48944001	50072000	1127	-0.377001
TCGA-AC-A23C-01A-12D-A899-36	chr3	50072001	52025000	1942	-0.363950
TCGA-AC-A23C-01A-12D-A899-36	chr3	52025001	52180000	155	-0.342715
TCGA-AC-A23C-01A-12D-A899-36	chr3	52180001	52831000	651	-0.373469
TCGA-AC-A23C-01A-12D-A899-36	chr3	52831001	52993000	162	-0.033229
TCGA-AC-A23C-01A-12D-A899-36	chr3	52993001	53005000	12	-0.915934
TCGA-AC-A23C-01A-12D-A899-36	chr3	53005001	56508000	3480	0.000904
TCGA-AC-A23C-01A-12D-A899-36	chr3	56508001	57045000	533	-0.387697
TCGA-AC-A23C-01A-12D-A899-36	chr3	57045001	57941000	894	-0.377346
TCGA-AC-A23C-01A-12D-A899-36	chr3	57941001	57972000	31	-0.366599
TCGA-AC-A23C-01A-12D-A899-36	chr3	57972001	60508000	2527	-0.382327
TCGA-AC-A23C-01A-12D-A899-36	chr3	60508001	61156000	647	-0.390879
TCGA-AC-A23C-01A-12D-A899-36	chr3	61156001	62674000	1516	-0.385758
TCGA-AC-A23C-01A-12D-A899-36	chr3	62674001	62799000	125	-0.385019
TCGA-AC-A23C-01A-12D-A899-36	chr3	62799001	63700000	877	-0.389219
TCGA-AC-A23C-01A-12D-A899-36	chr3	63700001	63710000	10	-0.406380
TCGA-AC-A23C-01A-12D-A899-36	chr3	63710001	65204000	1491	-0.385799
TCGA-AC-A23C-01A-12D-A899-36	chr3	65204001	65229000	25	-29.901404
