GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	17001	1200000	415	-0.228695
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	1200001	2625000	1366	-0.204725
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	2625001	12791000	10019	-0.203218
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	12791001	13122000	109	-0.307385
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	13170001	13173000	3	-7.823251
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	13224001	13599000	296	-0.265377
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	13599001	16541000	2931	-0.200129
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	16541001	16602000	31	-1.121874
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	16602001	16646000	43	-0.467328
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	16646001	16654000	8	-2.475029
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	16674001	16879000	86	-0.655447
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	16879001	19261000	2377	-0.202860
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	19261001	28004000	8610	-0.203320
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	28004001	43536000	15452	-0.197095
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	43536001	43819000	283	-0.204451
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	43819001	44025000	204	-0.193638
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	44025001	44803000	777	-0.198631
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	44803001	44983000	178	-0.186056
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	44983001	48672000	3649	-0.196610
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	48672001	72700000	23855	-0.183201
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	72700001	83171000	10398	-0.175498
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	83172001	83184000	11	-1.989259
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	83185001	83450000	232	-0.361141
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	83450001	100620000	17058	-0.181128
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	100620001	104034000	3244	-0.167317
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	104034001	104227000	190	-0.182689
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	104227001	108190000	3929	-0.171188
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	108190001	114806000	6356	-0.190959
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	114806001	117807000	2989	-0.191401
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	117807001	119805000	1990	-0.176485
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	119805001	121744000	572	-0.232597
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	121771001	124062000	178	-1.142391
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	124068001	124321000	35	-0.385170
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	124325001	124630000	64	-1.055728
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	124631001	124660000	5	-3.392690
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	124671001	124783000	37	-1.706058
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	124802001	125171000	234	-0.151037
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	125174001	143186000	13	-1.259823
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	143186001	143213000	16	-0.109610
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	143213001	143221000	8	-0.951267
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	143221001	143312000	51	0.236060
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	143483001	144105000	250	-0.850557
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	144140001	145694000	267	0.315390
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	145694001	146059000	350	0.670095
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	146059001	146951000	152	0.327776
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	146960001	147721000	728	0.682262
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	147721001	147911000	190	0.690497
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	147911001	149895000	496	0.501671
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	149895001	151968000	2065	0.679309
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	151968001	161521000	9412	0.688600
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	161521001	161734000	153	0.571660
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	161734001	163502000	1763	0.700643
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	163502001	171682000	8124	0.698991
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	171682001	171765000	82	0.682068
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	171765001	172333000	566	0.696232
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	172333001	183760000	11347	0.696740
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	183760001	193504000	9686	0.709272
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	193504001	204221000	10580	0.702679
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	204221001	204712000	490	0.677101
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	204712001	204906000	194	0.693851
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	204906001	209250000	4062	0.689618
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	209250001	217563000	8277	0.694378
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	217563001	218796000	1221	0.699700
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	218796001	218909000	113	0.701677
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	218909001	222387000	3451	0.697515
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	222387001	222545000	141	0.644329
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	222545001	223662000	1056	0.684282
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	223662001	224041000	323	0.613771
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	224041001	224634000	590	0.682577
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	224634001	229650000	4897	0.690885
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	229650001	229719000	61	0.694106
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	229719001	237396000	7624	0.683439
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	237396001	242219000	4805	0.689235
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	242219001	242459000	237	0.638442
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	242459001	242780000	321	0.686985
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	242780001	242884000	104	0.688231
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	242884001	242934000	50	0.660972
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	242934001	243001000	64	0.509746
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	243001001	243089000	65	0.317901
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	243089001	243310000	215	0.608736
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	243310001	246017000	2691	0.688605
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	246017001	248434000	2364	0.686234
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	248434001	248483000	33	0.885373
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	248485001	248650000	81	0.341211
TCGA-E9-A1NH-01A-11D-A14G-09	chr1	248659001	248931000	268	0.665367
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	11001	65959000	65495	0.092589
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	65959001	65970000	11	-0.943211
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	65970001	86868000	20723	0.095049
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	86868001	87415000	150	-0.171962
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	87415001	87431000	10	-1.573584
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	87431001	90259000	1715	0.022008
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	90289001	91547000	149	-0.326965
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	91548001	94292000	475	-0.134378
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	94292001	111253000	15215	0.079591
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	111254001	111616000	115	-0.317641
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	111616001	113411000	1637	0.071615
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	113412001	113609000	113	-0.484430
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	113625001	130036000	16265	0.090369
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	130036001	130127000	20	-0.282059
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	130131001	132532000	2025	0.044120
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	132532001	132535000	3	-0.045880
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	132535001	237645000	104370	0.097066
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	237645001	237653000	8	-0.035714
TCGA-E9-A1NH-01A-11D-A14G-09	chr2	237653001	242159000	4397	0.080424
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	12001	20270000	20143	0.090984
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	20270001	20277000	7	-29.882239
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	20277001	41826000	21439	0.096768
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	41826001	41834000	8	-0.121519
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	41834001	81061000	39013	0.089711
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	81061001	90669000	9546	0.109714
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	90673001	91191000	32	-0.771848
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	91248001	94847000	1386	0.093270
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	94847001	94852000	5	-0.374537
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	94852001	99035000	4161	0.113069
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	99035001	99042000	7	0.131702
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	99042001	129913000	30646	0.097644
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	129913001	130132000	179	0.496541
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	130132001	130233000	101	0.409859
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	130233001	130324000	91	0.546228
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	130324001	131882000	1544	0.534745
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	131882001	132008000	121	0.526195
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	132008001	133190000	1159	0.527061
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	133190001	134822000	1630	0.520149
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	134822001	134887000	65	0.511092
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	134887001	135236000	343	0.513003
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	135236001	144255000	8954	0.524784
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	144255001	150479000	6191	0.539004
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	150479001	166732000	16027	0.535086
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	166732001	166814000	82	0.523235
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	166814001	176945000	10088	0.535492
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	176945001	177151000	206	0.541705
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	177151001	177776000	619	0.511534
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	177776001	178456000	679	0.541279
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	178456001	183936000	5451	0.526511
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	183936001	184042000	105	0.511288
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	184042001	184139000	97	0.502512
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	184139001	184222000	83	0.511207
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	184222001	184791000	566	0.504336
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	184791001	189588000	4756	0.521790
TCGA-E9-A1NH-01A-11D-A14G-09	chr3	189588001	192302000	2695	0.533204
