GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A24U-01A-11D-A899-36	chr1	17001	16583000	15158	-0.026031
TCGA-AR-A24U-01A-11D-A899-36	chr1	16583001	16749000	102	-0.225612
TCGA-AR-A24U-01A-11D-A899-36	chr1	16755001	72298000	55075	-0.017826
TCGA-AR-A24U-01A-11D-A899-36	chr1	72298001	78681000	6301	0.045241
TCGA-AR-A24U-01A-11D-A899-36	chr1	78681001	123361000	41119	-0.013677
TCGA-AR-A24U-01A-11D-A899-36	chr1	123372001	123391000	2	-2.908473
TCGA-AR-A24U-01A-11D-A899-36	chr1	123393001	124006000	77	0.111543
TCGA-AR-A24U-01A-11D-A899-36	chr1	124012001	124070000	7	-0.613142
TCGA-AR-A24U-01A-11D-A899-36	chr1	124096001	124371000	42	0.409010
TCGA-AR-A24U-01A-11D-A899-36	chr1	124376001	125171000	331	0.202327
TCGA-AR-A24U-01A-11D-A899-36	chr1	125174001	143186000	13	-0.568643
TCGA-AR-A24U-01A-11D-A899-36	chr1	143186001	150989000	3598	0.263287
TCGA-AR-A24U-01A-11D-A899-36	chr1	150989001	203938000	52405	0.247160
TCGA-AR-A24U-01A-11D-A899-36	chr1	203938001	203953000	15	-0.969387
TCGA-AR-A24U-01A-11D-A899-36	chr1	203953001	224015000	19578	0.245415
TCGA-AR-A24U-01A-11D-A899-36	chr1	224015001	243005000	18775	0.242395
TCGA-AR-A24U-01A-11D-A899-36	chr1	243005001	245764000	2720	0.243901
TCGA-AR-A24U-01A-11D-A899-36	chr1	245764001	248461000	2628	0.241828
TCGA-AR-A24U-01A-11D-A899-36	chr1	248461001	248483000	16	0.698782
TCGA-AR-A24U-01A-11D-A899-36	chr1	248485001	248650000	81	-0.467146
TCGA-AR-A24U-01A-11D-A899-36	chr1	248659001	248931000	268	0.225128
TCGA-AR-A24U-01A-11D-A899-36	chr2	11001	56902000	56475	-0.070979
TCGA-AR-A24U-01A-11D-A899-36	chr2	56902001	97152000	34677	-0.065868
TCGA-AR-A24U-01A-11D-A899-36	chr2	97152001	97160000	6	-1.924821
TCGA-AR-A24U-01A-11D-A899-36	chr2	97160001	242159000	141738	-0.035703
TCGA-AR-A24U-01A-11D-A899-36	chr3	12001	16201000	16100	0.039424
TCGA-AR-A24U-01A-11D-A899-36	chr3	16201001	75375000	58884	-0.013974
TCGA-AR-A24U-01A-11D-A899-36	chr3	75375001	75593000	192	-1.009764
TCGA-AR-A24U-01A-11D-A899-36	chr3	75593001	90718000	14987	-0.009545
TCGA-AR-A24U-01A-11D-A899-36	chr3	90777001	91169000	24	-1.036540
TCGA-AR-A24U-01A-11D-A899-36	chr3	91190001	165306000	71194	0.017678
TCGA-AR-A24U-01A-11D-A899-36	chr3	165306001	195692000	30153	0.040337
