GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E2-A158-01A-11D-A895-36	chr1	17001	928000	153	-0.832653
TCGA-E2-A158-01A-11D-A895-36	chr1	928001	1200000	262	-0.760317
TCGA-E2-A158-01A-11D-A895-36	chr1	1200001	1288000	86	-0.769479
TCGA-E2-A158-01A-11D-A895-36	chr1	1290001	1308000	17	-0.720050
TCGA-E2-A158-01A-11D-A895-36	chr1	1308001	1584000	271	-0.762144
TCGA-E2-A158-01A-11D-A895-36	chr1	1584001	1707000	99	-0.743865
TCGA-E2-A158-01A-11D-A895-36	chr1	1715001	1784000	57	-0.672677
TCGA-E2-A158-01A-11D-A895-36	chr1	1784001	2424000	635	-0.781297
TCGA-E2-A158-01A-11D-A895-36	chr1	2424001	2436000	12	-0.751039
TCGA-E2-A158-01A-11D-A895-36	chr1	2436001	3141000	587	-0.795706
TCGA-E2-A158-01A-11D-A895-36	chr1	3141001	3291000	149	-0.786425
TCGA-E2-A158-01A-11D-A895-36	chr1	3291001	3409000	116	-0.842530
TCGA-E2-A158-01A-11D-A895-36	chr1	3409001	3602000	191	-0.802128
TCGA-E2-A158-01A-11D-A895-36	chr1	3602001	3643000	41	-0.854646
TCGA-E2-A158-01A-11D-A895-36	chr1	3644001	3724000	79	-0.786298
TCGA-E2-A158-01A-11D-A895-36	chr1	3724001	3741000	17	-0.737144
TCGA-E2-A158-01A-11D-A895-36	chr1	3741001	3817000	76	-0.809793
TCGA-E2-A158-01A-11D-A895-36	chr1	3817001	3825000	8	-0.769050
TCGA-E2-A158-01A-11D-A895-36	chr1	3825001	3953000	126	-0.825703
TCGA-E2-A158-01A-11D-A895-36	chr1	3953001	4003000	50	-0.820401
TCGA-E2-A158-01A-11D-A895-36	chr1	4003001	5138000	1127	-0.857472
TCGA-E2-A158-01A-11D-A895-36	chr1	5138001	5169000	31	-0.819062
TCGA-E2-A158-01A-11D-A895-36	chr1	5169001	5206000	37	-0.861599
TCGA-E2-A158-01A-11D-A895-36	chr1	5206001	5257000	51	-0.844927
TCGA-E2-A158-01A-11D-A895-36	chr1	5257001	5660000	402	-0.863062
TCGA-E2-A158-01A-11D-A895-36	chr1	5660001	5711000	51	-0.836953
TCGA-E2-A158-01A-11D-A895-36	chr1	5711001	5726000	15	-0.815545
TCGA-E2-A158-01A-11D-A895-36	chr1	5726001	5801000	75	-0.831270
TCGA-E2-A158-01A-11D-A895-36	chr1	5801001	6154000	351	-0.824452
TCGA-E2-A158-01A-11D-A895-36	chr1	6154001	6263000	109	-0.804933
TCGA-E2-A158-01A-11D-A895-36	chr1	6263001	6499000	236	-0.766862
TCGA-E2-A158-01A-11D-A895-36	chr1	6499001	6849000	350	-0.799993
TCGA-E2-A158-01A-11D-A895-36	chr1	6849001	6862000	13	-0.816483
TCGA-E2-A158-01A-11D-A895-36	chr1	6862001	7215000	352	-0.834824
TCGA-E2-A158-01A-11D-A895-36	chr1	7215001	7265000	50	-0.867543
TCGA-E2-A158-01A-11D-A895-36	chr1	7265001	7351000	86	-0.831522
TCGA-E2-A158-01A-11D-A895-36	chr1	7351001	7451000	100	-0.832987
TCGA-E2-A158-01A-11D-A895-36	chr1	7451001	7557000	106	-0.836783
TCGA-E2-A158-01A-11D-A895-36	chr1	7557001	7687000	130	-0.815469
TCGA-E2-A158-01A-11D-A895-36	chr1	7687001	8136000	448	-0.820437
TCGA-E2-A158-01A-11D-A895-36	chr1	8136001	8145000	9	-0.887135
TCGA-E2-A158-01A-11D-A895-36	chr1	8145001	8270000	125	-0.826609
TCGA-E2-A158-01A-11D-A895-36	chr1	8270001	8300000	30	-0.765027
TCGA-E2-A158-01A-11D-A895-36	chr1	8300001	8540000	238	-0.816631
TCGA-E2-A158-01A-11D-A895-36	chr1	8540001	8662000	122	-3.138323
TCGA-E2-A158-01A-11D-A895-36	chr1	8662001	9371000	706	-0.814735
TCGA-E2-A158-01A-11D-A895-36	chr1	9371001	9402000	31	-0.810405
