GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	17001	4888000	3910	-0.070969
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	4888001	12837000	7934	-0.057189
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	12837001	13122000	65	0.480051
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	13170001	13335000	46	-0.092331
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	13338001	13343000	4	-3.348235
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	13343001	13354000	9	-5.835309
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	13355001	13366000	7	-2.808646
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	13366001	13382000	16	-0.070432
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	13382001	13385000	3	-7.281205
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	13385001	16501000	3107	-0.053660
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	16501001	16949000	275	-0.151790
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	16949001	19429000	2476	-0.048921
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	19429001	24384000	4930	-0.037317
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	24384001	29575000	5080	-0.036286
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	29575001	31427000	1844	-0.041289
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	31427001	43634000	12138	-0.031632
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	43634001	43780000	146	-0.038814
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	43780001	45033000	1248	-0.033635
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	45033001	54225000	9137	-0.027856
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	54225001	54971000	741	-0.046530
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	54971001	60298000	5292	-0.027875
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	60298001	84243000	23708	-0.021958
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	84243001	84251000	8	-0.062822
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	84251001	84993000	742	-0.025627
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	84993001	89188000	4152	-0.021091
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	89188001	101923000	12671	-0.022978
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	101923001	102433000	509	-0.019420
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	102433001	102934000	499	-0.016319
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	102934001	103831000	736	-0.018892
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	103831001	104352000	517	-0.023709
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	104352001	105481000	1106	-0.020254
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	105481001	105544000	63	-0.031063
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	105544001	117686000	11859	-0.024897
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	117686001	122540000	2691	-0.013122
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	122547001	145701000	1157	0.015191
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	145701001	147908000	1410	-0.014229
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	147908001	150989000	1589	-0.001344
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	150989001	151367000	378	-0.039194
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	151367001	153141000	1711	-0.023105
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	153141001	153306000	163	0.046795
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	153306001	153786000	479	-0.014288
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	153786001	154140000	354	0.338862
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	154140001	154536000	396	0.248142
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	154536001	154796000	260	0.310117
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	154796001	155637000	819	0.395666
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	155637001	158362000	2714	0.068892
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	158362001	159212000	838	0.093052
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	159212001	159849000	632	0.180925
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	159849001	160111000	262	0.323197
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	160111001	160461000	350	0.338591
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	160461001	160633000	172	0.165419
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	160633001	161571000	902	0.075443
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	161571001	161592000	3	-0.429633
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	161592001	172973000	11280	0.074319
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	172973001	173039000	61	0.100433
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	173039001	173417000	378	0.082303
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	173417001	173583000	166	0.069421
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	173583001	179342000	5706	0.070999
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	179342001	188286000	8886	0.073522
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	188286001	196739000	8410	0.169659
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	196739001	196954000	128	0.237438
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	196954001	217815000	20510	0.163155
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	217815001	221684000	3842	0.163870
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	221684001	236523000	14530	0.160108
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	236523001	241192000	4643	0.153348
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	241192001	241207000	15	-1.019859
TCGA-C8-A8HP-01A-01D-A89F-36	chr1	241207001	248931000	7498	0.152710
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	11001	35959000	35651	0.122240
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	35959001	87259000	50671	0.130745
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	87261001	87315000	16	0.123284
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	87317001	113488000	19398	0.104564
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	113488001	113505000	8	-1.867790
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	113506001	147183000	32937	0.093662
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	147183001	147190000	7	-29.859482
TCGA-C8-A8HP-01A-01D-A89F-36	chr2	147190001	242159000	94208	0.089873
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	12001	9880000	9796	-0.124311
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	9880001	9888000	8	-1.474428
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	9888001	15799000	5895	-0.133845
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	15799001	15807000	8	-0.236758
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	15807001	16902000	1092	-0.126061
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	16902001	51784000	34706	-0.126145
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	51784001	54259000	2463	-0.113770
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	54259001	65203000	10886	-0.132584
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	65203001	65229000	26	-1.365933
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	65229001	67160000	1920	-0.133792
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	67160001	76354000	9136	-0.127695
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	76354001	82920000	6525	-0.117244
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	82920001	87319000	4386	-0.007231
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	87319001	87581000	260	0.345459
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	87581001	88572000	990	0.284564
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	88572001	100203000	8800	0.096780
TCGA-C8-A8HP-01A-01D-A89F-36	chr3	100203001	100209000	6	-8.300777
