GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E2-A14Q-01A-11D-A895-36	chr1	17001	270000	9	0.459606
TCGA-E2-A14Q-01A-11D-A895-36	chr1	629001	771000	7	-6.924591
TCGA-E2-A14Q-01A-11D-A895-36	chr1	777001	828000	43	0.436491
TCGA-E2-A14Q-01A-11D-A895-36	chr1	828001	14334000	12882	0.000475
TCGA-E2-A14Q-01A-11D-A895-36	chr1	14334001	14775000	440	-0.442532
TCGA-E2-A14Q-01A-11D-A895-36	chr1	14775001	14920000	145	-0.440866
TCGA-E2-A14Q-01A-11D-A895-36	chr1	14920001	16568000	1623	-0.006397
TCGA-E2-A14Q-01A-11D-A895-36	chr1	16574001	16632000	50	-0.269301
TCGA-E2-A14Q-01A-11D-A895-36	chr1	16632001	16949000	177	-0.261206
TCGA-E2-A14Q-01A-11D-A895-36	chr1	16949001	25934000	8858	0.001759
TCGA-E2-A14Q-01A-11D-A895-36	chr1	25934001	26353000	419	-0.429268
TCGA-E2-A14Q-01A-11D-A895-36	chr1	26353001	28064000	1701	-0.428362
TCGA-E2-A14Q-01A-11D-A895-36	chr1	28064001	73608000	45242	0.002778
TCGA-E2-A14Q-01A-11D-A895-36	chr1	73608001	77506000	3872	-0.425650
TCGA-E2-A14Q-01A-11D-A895-36	chr1	77506001	78566000	1053	0.016443
TCGA-E2-A14Q-01A-11D-A895-36	chr1	78566001	79195000	623	-0.414285
TCGA-E2-A14Q-01A-11D-A895-36	chr1	79195001	79360000	164	-0.416060
TCGA-E2-A14Q-01A-11D-A895-36	chr1	79360001	79898000	536	-0.426338
TCGA-E2-A14Q-01A-11D-A895-36	chr1	79898001	83590000	3629	0.032301
TCGA-E2-A14Q-01A-11D-A895-36	chr1	83590001	86270000	2640	-0.433555
TCGA-E2-A14Q-01A-11D-A895-36	chr1	86270001	86295000	24	-0.433277
TCGA-E2-A14Q-01A-11D-A895-36	chr1	86295001	89236000	2929	-0.433403
TCGA-E2-A14Q-01A-11D-A895-36	chr1	89236001	89300000	64	-0.420759
TCGA-E2-A14Q-01A-11D-A895-36	chr1	89300001	94143000	4806	-0.437061
TCGA-E2-A14Q-01A-11D-A895-36	chr1	94143001	94645000	502	-0.430582
TCGA-E2-A14Q-01A-11D-A895-36	chr1	94645001	94718000	73	-0.421209
TCGA-E2-A14Q-01A-11D-A895-36	chr1	94718001	95491000	769	-0.442184
TCGA-E2-A14Q-01A-11D-A895-36	chr1	95491001	99074000	3570	-0.425885
TCGA-E2-A14Q-01A-11D-A895-36	chr1	99074001	101082000	2002	-0.424163
TCGA-E2-A14Q-01A-11D-A895-36	chr1	101082001	101096000	14	-0.407435
TCGA-E2-A14Q-01A-11D-A895-36	chr1	101096001	102284000	1183	-0.432037
TCGA-E2-A14Q-01A-11D-A895-36	chr1	102284001	104223000	1772	-0.420398
TCGA-E2-A14Q-01A-11D-A895-36	chr1	104223001	104242000	19	-0.406204
TCGA-E2-A14Q-01A-11D-A895-36	chr1	104242001	104323000	81	-0.444025
TCGA-E2-A14Q-01A-11D-A895-36	chr1	104323001	105184000	847	-0.415517
TCGA-E2-A14Q-01A-11D-A895-36	chr1	105184001	105303000	117	-0.411376
TCGA-E2-A14Q-01A-11D-A895-36	chr1	105303001	110833000	5289	-0.428981
TCGA-E2-A14Q-01A-11D-A895-36	chr1	110833001	111515000	681	-0.423150
TCGA-E2-A14Q-01A-11D-A895-36	chr1	111515001	111944000	429	-0.437575
TCGA-E2-A14Q-01A-11D-A895-36	chr1	111944001	115690000	3705	-0.022157
TCGA-E2-A14Q-01A-11D-A895-36	chr1	115690001	120574000	4379	-0.009652
TCGA-E2-A14Q-01A-11D-A895-36	chr1	120671001	120922000	27	-0.725051
TCGA-E2-A14Q-01A-11D-A895-36	chr1	120935001	122905000	314	0.015833
TCGA-E2-A14Q-01A-11D-A895-36	chr1	122912001	123014000	10	0.810678
TCGA-E2-A14Q-01A-11D-A895-36	chr1	123019001	123715000	84	-0.040675
TCGA-E2-A14Q-01A-11D-A895-36	chr1	123720001	123743000	2	-4.061383
TCGA-E2-A14Q-01A-11D-A895-36	chr1	123743001	124097000	37	0.105155
TCGA-E2-A14Q-01A-11D-A895-36	chr1	124098001	124280000	23	0.719796
TCGA-E2-A14Q-01A-11D-A895-36	chr1	124280001	124371000	18	-1.077342
TCGA-E2-A14Q-01A-11D-A895-36	chr1	124376001	143186000	344	0.386171
TCGA-E2-A14Q-01A-11D-A895-36	chr1	143186001	143202000	11	1.504482
TCGA-E2-A14Q-01A-11D-A895-36	chr1	143207001	143226000	18	0.810384
TCGA-E2-A14Q-01A-11D-A895-36	chr1	143226001	143237000	8	1.940449
TCGA-E2-A14Q-01A-11D-A895-36	chr1	143237001	143505000	43	0.645484
TCGA-E2-A14Q-01A-11D-A895-36	chr1	143529001	143694000	153	-0.153250
TCGA-E2-A14Q-01A-11D-A895-36	chr1	143694001	143938000	88	-0.694280
TCGA-E2-A14Q-01A-11D-A895-36	chr1	144101001	165639000	17708	0.361355
TCGA-E2-A14Q-01A-11D-A895-36	chr1	165639001	166034000	392	0.352554
TCGA-E2-A14Q-01A-11D-A895-36	chr1	166034001	166398000	358	0.361888
TCGA-E2-A14Q-01A-11D-A895-36	chr1	166398001	180209000	13709	0.365581
TCGA-E2-A14Q-01A-11D-A895-36	chr1	180209001	182203000	1981	0.372762
TCGA-E2-A14Q-01A-11D-A895-36	chr1	182203001	188124000	5878	0.365320
TCGA-E2-A14Q-01A-11D-A895-36	chr1	188124001	200281000	12007	0.375659
TCGA-E2-A14Q-01A-11D-A895-36	chr1	200281001	203295000	3006	0.356298
TCGA-E2-A14Q-01A-11D-A895-36	chr1	203295001	216018000	12409	0.360132
TCGA-E2-A14Q-01A-11D-A895-36	chr1	216018001	233893000	17558	0.357648
TCGA-E2-A14Q-01A-11D-A895-36	chr1	233893001	236039000	2120	0.357280
TCGA-E2-A14Q-01A-11D-A895-36	chr1	236039001	236097000	58	0.336761
TCGA-E2-A14Q-01A-11D-A895-36	chr1	236097001	236535000	435	0.348282
TCGA-E2-A14Q-01A-11D-A895-36	chr1	236535001	238689000	2138	0.351521
TCGA-E2-A14Q-01A-11D-A895-36	chr1	238690001	245458000	6707	0.354182
TCGA-E2-A14Q-01A-11D-A895-36	chr1	245458001	247676000	2189	0.355854
TCGA-E2-A14Q-01A-11D-A895-36	chr1	247676001	248367000	664	0.374334
TCGA-E2-A14Q-01A-11D-A895-36	chr1	248367001	248529000	110	0.312141
TCGA-E2-A14Q-01A-11D-A895-36	chr1	248552001	248566000	3	0.940058
TCGA-E2-A14Q-01A-11D-A895-36	chr1	248566001	248767000	169	0.455588
TCGA-E2-A14Q-01A-11D-A895-36	chr1	248767001	248931000	164	0.336347
TCGA-E2-A14Q-01A-11D-A895-36	chr2	11001	35952000	35645	0.004049
TCGA-E2-A14Q-01A-11D-A895-36	chr2	35952001	35964000	11	-0.056169
