GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EW-A1PD-01A-11D-A898-36	chr1	17001	2653000	1809	-0.058010
TCGA-EW-A1PD-01A-11D-A898-36	chr1	2653001	2753000	9	0.417507
TCGA-EW-A1PD-01A-11D-A898-36	chr1	2756001	13753000	10544	-0.027852
TCGA-EW-A1PD-01A-11D-A898-36	chr1	13753001	14064000	310	-0.525432
TCGA-EW-A1PD-01A-11D-A898-36	chr1	14064001	14467000	402	-0.502889
TCGA-EW-A1PD-01A-11D-A898-36	chr1	14467001	14549000	81	-0.514506
TCGA-EW-A1PD-01A-11D-A898-36	chr1	14549001	16407000	1853	-0.538164
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16407001	16508000	100	-0.532405
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16508001	16603000	63	-0.332633
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16604001	16680000	56	-0.306439
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16680001	16720000	20	-1.136602
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16720001	16729000	9	-0.781723
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16729001	16872000	44	-0.356243
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16872001	16965000	91	-1.139162
TCGA-EW-A1PD-01A-11D-A898-36	chr1	16965001	17220000	254	-0.529692
TCGA-EW-A1PD-01A-11D-A898-36	chr1	17220001	17229000	9	-0.477043
TCGA-EW-A1PD-01A-11D-A898-36	chr1	17229001	17271000	42	-0.520457
TCGA-EW-A1PD-01A-11D-A898-36	chr1	17271001	17354000	82	-0.520335
TCGA-EW-A1PD-01A-11D-A898-36	chr1	17354001	17496000	142	-0.559859
TCGA-EW-A1PD-01A-11D-A898-36	chr1	17496001	17949000	453	-0.517584
TCGA-EW-A1PD-01A-11D-A898-36	chr1	17949001	18102000	153	-0.476177
TCGA-EW-A1PD-01A-11D-A898-36	chr1	18102001	21798000	3678	-0.527967
TCGA-EW-A1PD-01A-11D-A898-36	chr1	21798001	22413000	610	-0.533748
TCGA-EW-A1PD-01A-11D-A898-36	chr1	22413001	23707000	1294	-0.530492
TCGA-EW-A1PD-01A-11D-A898-36	chr1	23707001	23736000	29	-0.598774
TCGA-EW-A1PD-01A-11D-A898-36	chr1	23736001	24390000	651	-0.545258
TCGA-EW-A1PD-01A-11D-A898-36	chr1	24390001	24936000	541	-0.538901
TCGA-EW-A1PD-01A-11D-A898-36	chr1	24936001	24979000	43	-0.511256
TCGA-EW-A1PD-01A-11D-A898-36	chr1	24979001	29467000	4384	-0.542681
TCGA-EW-A1PD-01A-11D-A898-36	chr1	29467001	29527000	60	-0.508503
TCGA-EW-A1PD-01A-11D-A898-36	chr1	29527001	29885000	354	-0.513460
TCGA-EW-A1PD-01A-11D-A898-36	chr1	29885001	30001000	116	-0.485611
TCGA-EW-A1PD-01A-11D-A898-36	chr1	30001001	34636000	4607	0.003197
TCGA-EW-A1PD-01A-11D-A898-36	chr1	34636001	34646000	10	-0.958200
TCGA-EW-A1PD-01A-11D-A898-36	chr1	34646001	40240000	5564	-0.001362
TCGA-EW-A1PD-01A-11D-A898-36	chr1	40240001	41171000	926	0.380495
