GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A0YL-01A-21D-A744-36	chr1	17001	16539000	15138	0.012364
TCGA-A2-A0YL-01A-21D-A744-36	chr1	16540001	16682000	91	0.347376
TCGA-A2-A0YL-01A-21D-A744-36	chr1	16683001	16949000	147	-0.357940
TCGA-A2-A0YL-01A-21D-A744-36	chr1	16949001	34636000	17517	0.013520
TCGA-A2-A0YL-01A-21D-A744-36	chr1	34636001	34646000	10	-29.853709
TCGA-A2-A0YL-01A-21D-A744-36	chr1	34646001	122914000	84808	0.010622
TCGA-A2-A0YL-01A-21D-A744-36	chr1	122922001	122923000	1	-8.446359
TCGA-A2-A0YL-01A-21D-A744-36	chr1	122925001	123186000	29	-0.221501
TCGA-A2-A0YL-01A-21D-A744-36	chr1	123195001	123514000	33	-0.717072
TCGA-A2-A0YL-01A-21D-A744-36	chr1	123524001	123532000	5	-4.469330
TCGA-A2-A0YL-01A-21D-A744-36	chr1	123535001	124097000	63	-0.410370
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124098001	124103000	2	2.168030
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124119001	124169000	7	-0.058522
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124173001	124198000	4	-2.314896
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124204001	124473000	48	-0.491106
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124475001	124511000	5	-3.182106
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124514001	124553000	9	-0.186935
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124555001	124591000	8	-3.502324
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124591001	124630000	13	-0.542920
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124631001	124643000	3	-2.390551
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124653001	124764000	29	-0.419623
TCGA-A2-A0YL-01A-21D-A744-36	chr1	124766001	143312000	332	0.036086
TCGA-A2-A0YL-01A-21D-A744-36	chr1	143483001	143938000	246	-0.841278
TCGA-A2-A0YL-01A-21D-A744-36	chr1	144101001	230989000	82109	0.237840
TCGA-A2-A0YL-01A-21D-A744-36	chr1	230989001	234502000	3502	0.236732
TCGA-A2-A0YL-01A-21D-A744-36	chr1	234502001	248931000	14152	0.232218
TCGA-A2-A0YL-01A-21D-A744-36	chr2	11001	242159000	232896	0.008805
TCGA-A2-A0YL-01A-21D-A744-36	chr3	12001	39909000	39684	0.005008
TCGA-A2-A0YL-01A-21D-A744-36	chr3	39909001	40277000	362	-0.115124
TCGA-A2-A0YL-01A-21D-A744-36	chr3	40277001	50766000	10449	-0.243825
TCGA-A2-A0YL-01A-21D-A744-36	chr3	50766001	71971000	21095	-0.118023
TCGA-A2-A0YL-01A-21D-A744-36	chr3	71971001	75374000	3393	-0.004022
TCGA-A2-A0YL-01A-21D-A744-36	chr3	75374001	75593000	193	-0.913219
TCGA-A2-A0YL-01A-21D-A744-36	chr3	75593001	173541000	94405	0.005219
TCGA-A2-A0YL-01A-21D-A744-36	chr3	173541001	173573000	32	0.559984
TCGA-A2-A0YL-01A-21D-A744-36	chr3	173573001	195615000	21867	0.006274
